beta,coefficient,S.E. of beta,pval of beta,quantile,model,method,trial
beta1,-0.073371021,0.010914535,8.94E-12,0.01,asymmetric,RQ,27
beta2,0.921485686,0.008808663,0,0.01,asymmetric,RQ,27
beta3,-0.040284389,0.053546416,0.225927357,0.01,asymmetric,RQ,27
beta4,0.313783387,0.034199457,2.26E-20,0.01,asymmetric,RQ,27
beta1,-0.073798798,0.010867443,5.58E-12,0.01,asymmetric,RQ,28
beta2,0.921408362,0.00894421,0,0.01,asymmetric,RQ,28
beta3,-0.039037021,0.054005376,0.234890375,0.01,asymmetric,RQ,28
beta4,0.314658105,0.033919928,8.76E-21,0.01,asymmetric,RQ,28
beta1,-0.073761088,0.011002437,1.01E-11,0.01,asymmetric,RQ,29
beta2,0.921304744,0.008878083,0,0.01,asymmetric,RQ,29
beta3,-0.040600586,0.053842413,0.225405616,0.01,asymmetric,RQ,29
beta4,0.313962968,0.03436576,3.24E-20,0.01,asymmetric,RQ,29
beta1,0.261309247,0.089778658,0.001803711,0.01,igarch,RQ,0
beta2,0.882250757,0.029916814,1.93E-191,0.01,igarch,RQ,0
beta3,0.553885244,0.213317949,0.004708612,0.01,igarch,RQ,0
beta1,0.25254738,0.087013343,0.001851587,0.01,igarch,RQ,1
beta2,0.882361195,0.029363115,1.09E-198,0.01,igarch,RQ,1
beta3,0.560989164,0.21218606,0.004098389,0.01,igarch,RQ,1
beta1,0.261929326,0.090042652,0.00181324,0.01,igarch,RQ,2
beta2,0.882031763,0.029969466,1.10E-190,0.01,igarch,RQ,2
beta3,0.555318784,0.213844055,0.004704288,0.01,igarch,RQ,2
beta1,0.272224408,0.079551769,0.000310837,0.01,igarch,RQ,3
beta2,0.878264733,0.029118869,3.81E-200,0.01,igarch,RQ,3
beta3,0.572228918,0.216274188,0.004074305,0.01,igarch,RQ,3
beta1,0.271912138,0.092447014,0.001634318,0.01,igarch,RQ,4
beta2,0.877964058,0.02992035,1.45E-189,0.01,igarch,RQ,4
beta3,0.578231292,0.213273613,0.003351825,0.01,igarch,RQ,4
beta1,0.266114175,0.09092297,0.001712295,0.01,igarch,RQ,5
beta2,0.880051776,0.029694411,2.50E-193,0.01,igarch,RQ,5
beta3,0.569074288,0.21213804,0.003652987,0.01,igarch,RQ,5
beta1,0.255161828,0.085966684,0.001498001,0.01,igarch,RQ,6
beta2,0.885644272,0.028282649,1.50E-215,0.01,igarch,RQ,6
beta3,0.527112039,0.196049468,0.00358688,0.01,igarch,RQ,6
beta1,0.279233872,0.092356517,0.001249616,0.01,igarch,RQ,7
beta2,0.874975993,0.054458595,2.18E-58,0.01,igarch,RQ,7
beta3,0.595508861,0.429499243,0.082794241,0.01,igarch,RQ,7
beta1,0.264340877,0.090673125,0.001776639,0.01,igarch,RQ,8
beta2,0.880730267,0.02968336,9.13E-194,0.01,igarch,RQ,8
beta3,0.565750822,0.212024768,0.003811533,0.01,igarch,RQ,8
beta1,0.26068204,0.089448139,0.001782223,0.01,igarch,RQ,9
beta2,0.882620865,0.029852425,2.04E-192,0.01,igarch,RQ,9
beta3,0.550885016,0.212386658,0.004746312,0.01,igarch,RQ,9
beta1,0.2640372,0.091222484,0.001899231,0.01,igarch,RQ,10
beta2,0.880909913,0.030216145,3.76E-187,0.01,igarch,RQ,10
beta3,0.564187163,0.216945157,0.00465307,0.01,igarch,RQ,10
beta1,0.257225161,0.08831087,0.001791458,0.01,igarch,RQ,11
beta2,0.884472686,0.028908965,7.11E-206,0.01,igarch,RQ,11
beta3,0.53633566,0.201725378,0.003921654,0.01,igarch,RQ,11
beta1,0.278607502,0.089757928,0.000954656,0.01,igarch,RQ,12
beta2,0.875349125,0.048931506,7.15E-72,0.01,igarch,RQ,12
beta3,0.592145834,0.377972011,0.058599504,0.01,igarch,RQ,12
beta1,0.275076294,0.087680503,0.000852682,0.01,igarch,RQ,13
beta2,0.876751463,0.047890405,3.61E-75,0.01,igarch,RQ,13
beta3,0.584409998,0.368693659,0.056473755,0.01,igarch,RQ,13
beta1,0.273206083,0.087063677,0.000850516,0.01,igarch,RQ,14
beta2,0.877442748,0.04760643,3.69E-76,0.01,igarch,RQ,14
beta3,0.581153185,0.366230625,0.056273275,0.01,igarch,RQ,14
beta1,0.241421762,0.079210776,0.001152464,0.01,igarch,RQ,15
beta2,0.887430436,0.027254902,7.46E-233,0.01,igarch,RQ,15
beta3,0.523002237,0.19004694,0.002961956,0.01,igarch,RQ,15
beta1,0.26476918,0.090706966,0.001756058,0.01,igarch,RQ,16
beta2,0.880562146,0.029676218,8.74E-194,0.01,igarch,RQ,16
beta3,0.566631915,0.21200339,0.003761622,0.01,igarch,RQ,16
beta1,0.274888502,0.087513106,0.000841537,0.01,igarch,RQ,17
beta2,0.876742613,0.047824132,2.27E-75,0.01,igarch,RQ,17
beta3,0.584539779,0.368238776,0.056211794,0.01,igarch,RQ,17
beta1,0.27574787,0.08794724,0.000858163,0.01,igarch,RQ,18
beta2,0.876527093,0.048015149,9.40E-75,0.01,igarch,RQ,18
beta3,0.585205337,0.369584268,0.056663434,0.01,igarch,RQ,18
beta1,0.263590956,0.091118441,0.001908886,0.01,igarch,RQ,19
beta2,0.880989479,0.030199585,2.18E-187,0.01,igarch,RQ,19
beta3,0.564058994,0.216920036,0.004657001,0.01,igarch,RQ,19
beta1,0.270438242,0.092248023,0.001685872,0.01,igarch,RQ,20
beta2,0.878391607,0.02990296,5.77E-190,0.01,igarch,RQ,20
beta3,0.576818146,0.213388265,0.003434401,0.01,igarch,RQ,20
beta1,0.249921536,0.084741109,0.001592803,0.01,igarch,RQ,21
beta2,0.882808774,0.029264351,3.24E-200,0.01,igarch,RQ,21
beta3,0.559085629,0.211389763,0.004086847,0.01,igarch,RQ,21
beta1,0.276880646,0.088396899,0.000867379,0.01,igarch,RQ,22
beta2,0.876124523,0.048227293,4.75E-74,0.01,igarch,RQ,22
beta3,0.586931723,0.371274746,0.056955541,0.01,igarch,RQ,22
beta1,0.264347509,0.090806387,0.001800728,0.01,igarch,RQ,23
beta2,0.880755908,0.029731849,3.74E-193,0.01,igarch,RQ,23
beta3,0.565325142,0.212260058,0.003868219,0.01,igarch,RQ,23
beta1,0.272170761,0.092583294,0.001642442,0.01,igarch,RQ,24
beta2,0.877792255,0.029948841,3.90E-189,0.01,igarch,RQ,24
beta3,0.579571132,0.213658481,0.003337828,0.01,igarch,RQ,24
beta1,0.267851059,0.092230272,0.001841226,0.01,igarch,RQ,25
beta2,0.879598574,0.030415513,3.40E-184,0.01,igarch,RQ,25
beta3,0.569151585,0.217904788,0.004501663,0.01,igarch,RQ,25
beta1,0.264455805,0.090951718,0.001820776,0.01,igarch,RQ,26
beta2,0.880155484,0.030114806,4.44E-188,0.01,igarch,RQ,26
beta3,0.569116335,0.216720804,0.004319302,0.01,igarch,RQ,26
beta1,0.267042082,0.091821197,0.001817093,0.01,igarch,RQ,27
beta2,0.878541485,0.02993197,1.15E-189,0.01,igarch,RQ,27
beta3,0.577247632,0.214017324,0.003496258,0.01,igarch,RQ,27
beta1,0.265833003,0.091070832,0.001755952,0.01,igarch,RQ,28
beta2,0.880204226,0.029760939,1.53E-192,0.01,igarch,RQ,28
beta3,0.567894633,0.212447917,0.003757687,0.01,igarch,RQ,28
beta1,0.247951685,0.083565626,0.001502875,0.01,igarch,RQ,29
beta2,0.884276062,0.029021457,3.28E-204,0.01,igarch,RQ,29
beta3,0.546772087,0.207670335,0.004233152,0.01,igarch,RQ,29
