beta,coefficient,S.E. of beta,pval of beta,quantile,model,method,trial
beta3,-0.040611891,0.054407121,0.227699502,0.01,asymmetric,RQ,2
beta4,0.314633291,0.034068973,1.29E-20,0.01,asymmetric,RQ,2
beta1,-0.076809545,0.010975204,1.29E-12,0.01,asymmetric,RQ,3
beta2,0.922584999,0.008674291,0,0.01,asymmetric,RQ,3
beta3,-0.019513129,0.048972515,0.345149023,0.01,asymmetric,RQ,3
beta4,0.321960592,0.032011916,4.26E-24,0.01,asymmetric,RQ,3
beta1,-0.073861114,0.011045352,1.14E-11,0.01,asymmetric,RQ,4
beta2,0.921312911,0.008912008,0,0.01,asymmetric,RQ,4
beta3,-0.039962664,0.054009573,0.229674828,0.01,asymmetric,RQ,4
beta4,0.314311224,0.034508645,4.19E-20,0.01,asymmetric,RQ,4
beta1,-0.073598113,0.010792177,4.57E-12,0.01,asymmetric,RQ,5
beta2,0.921618136,0.008879799,0,0.01,asymmetric,RQ,5
beta3,-0.037661798,0.053670428,0.24142582,0.01,asymmetric,RQ,5
beta4,0.314913327,0.033798468,5.96E-21,0.01,asymmetric,RQ,5
beta1,-0.075061178,0.011034595,5.15E-12,0.01,asymmetric,RQ,6
beta2,0.921242132,0.009054169,0,0.01,asymmetric,RQ,6
beta3,-0.03539536,0.054382705,0.257569428,0.01,asymmetric,RQ,6
beta4,0.317807584,0.03437307,1.17E-20,0.01,asymmetric,RQ,6
beta1,-0.075855591,0.011403955,1.45E-11,0.01,asymmetric,RQ,7
beta2,0.921274543,0.009312965,0,0.01,asymmetric,RQ,7
beta3,-0.036039175,0.05580193,0.259191162,0.01,asymmetric,RQ,7
beta4,0.316055207,0.035228474,1.46E-19,0.01,asymmetric,RQ,7
beta1,-0.073981277,0.011056585,1.11E-11,0.01,asymmetric,RQ,8
beta2,0.921166879,0.008925844,0,0.01,asymmetric,RQ,8
beta3,-0.040674114,0.05403533,0.225805532,0.01,asymmetric,RQ,8
beta4,0.314267234,0.034480435,3.96E-20,0.01,asymmetric,RQ,8
beta1,-0.078140221,0.0117356,1.38E-11,0.01,asymmetric,RQ,9
beta2,0.920297266,0.009516128,0,0.01,asymmetric,RQ,9
beta3,-0.030941057,0.056092746,0.290609395,0.01,asymmetric,RQ,9
beta4,0.321550701,0.035433612,5.70E-20,0.01,asymmetric,RQ,9
beta1,-0.074849245,0.01081443,2.24E-12,0.01,asymmetric,RQ,10
beta2,0.921694421,0.00886114,0,0.01,asymmetric,RQ,10
beta3,-0.033046025,0.053239991,0.267398743,0.01,asymmetric,RQ,10
beta4,0.317066718,0.033800687,3.28E-21,0.01,asymmetric,RQ,10
beta1,-0.074666354,0.011380451,2.67E-11,0.01,asymmetric,RQ,11
beta2,0.92091812,0.009232588,0,0.01,asymmetric,RQ,11
beta3,-0.04048188,0.053728105,0.225587319,0.01,asymmetric,RQ,11
beta4,0.314898109,0.033676797,4.36E-21,0.01,asymmetric,RQ,11
beta1,-0.099811669,0.021400028,1.55E-06,0.01,asymmetric,RQ,12
beta2,0.892738986,0.029940854,1.18E-195,0.01,asymmetric,RQ,12
beta3,-0.044736465,0.083385743,0.295806462,0.01,asymmetric,RQ,12
beta4,0.459262029,0.137334942,0.000412747,0.01,asymmetric,RQ,12
beta1,-0.075752315,0.010722125,8.03E-13,0.01,asymmetric,RQ,13
beta2,0.922161095,0.008743192,0,0.01,asymmetric,RQ,13
beta3,-0.02573828,0.052313262,0.311358625,0.01,asymmetric,RQ,13
beta4,0.319832984,0.03366672,1.05E-21,0.01,asymmetric,RQ,13
beta1,-0.074517691,0.011341021,2.51E-11,0.01,asymmetric,RQ,14
beta2,0.920973749,0.009197824,0,0.01,asymmetric,RQ,14
beta3,-0.040951933,0.053597559,0.222414729,0.01,asymmetric,RQ,14
beta4,0.314478074,0.033570977,3.71E-21,0.01,asymmetric,RQ,14
beta1,-0.074324927,0.011022466,7.76E-12,0.01,asymmetric,RQ,15
beta2,0.921191274,0.009062901,0,0.01,asymmetric,RQ,15
beta3,-0.039867478,0.05459445,0.232619358,0.01,asymmetric,RQ,15
beta4,0.314551873,0.034231,1.98E-20,0.01,asymmetric,RQ,15
beta1,-0.07367967,0.010880077,6.35E-12,0.01,asymmetric,RQ,16
beta2,0.921430367,0.008956404,0,0.01,asymmetric,RQ,16
beta3,-0.039158954,0.0541188,0.234663669,0.01,asymmetric,RQ,16
beta4,0.314632186,0.033986058,1.04E-20,0.01,asymmetric,RQ,16
beta1,-0.085185703,0.013277585,7.01E-11,0.01,asymmetric,RQ,17
beta2,0.911487197,0.01519531,0,0.01,asymmetric,RQ,17
beta3,-0.014077343,0.056765888,0.402071273,0.01,asymmetric,RQ,17
beta4,0.376352091,0.089715041,1.36E-05,0.01,asymmetric,RQ,17
beta1,0.083657266,0.007159845,7.67E-32,0.01,asymmetric,RQ,18
beta2,0.905074361,0.005580772,0,0.01,asymmetric,RQ,18
beta3,0.026232379,0.023270355,0.12981049,0.01,asymmetric,RQ,18
beta4,0.884605579,0.057190388,2.86E-54,0.01,asymmetric,RQ,18
beta1,-0.075211452,0.011523257,3.36E-11,0.01,asymmetric,RQ,19
beta2,0.920671695,0.00933803,0,0.01,asymmetric,RQ,19
beta3,-0.04128318,0.054202378,0.223134799,0.01,asymmetric,RQ,19
beta4,0.314941631,0.033918258,8.06E-21,0.01,asymmetric,RQ,19
beta1,-0.074067405,0.010917012,5.82E-12,0.01,asymmetric,RQ,20
beta2,0.921247759,0.00898413,0,0.01,asymmetric,RQ,20
beta3,-0.039783806,0.054167759,0.231335598,0.01,asymmetric,RQ,20
beta4,0.314537899,0.033970273,1.03E-20,0.01,asymmetric,RQ,20
beta1,-0.073583287,0.010975721,1.01E-11,0.01,asymmetric,RQ,21
beta2,0.921436627,0.008856066,0,0.01,asymmetric,RQ,21
beta3,-0.039951827,0.053764375,0.228713271,0.01,asymmetric,RQ,21
beta4,0.314028341,0.034355729,3.11E-20,0.01,asymmetric,RQ,21
beta1,-0.074241613,0.01098538,6.98E-12,0.01,asymmetric,RQ,22
beta2,0.921300366,0.009027033,0,0.01,asymmetric,RQ,22
beta3,-0.039462499,0.054426254,0.234206486,0.01,asymmetric,RQ,22
beta4,0.314492605,0.034155386,1.67E-20,0.01,asymmetric,RQ,22
beta1,-0.078114085,0.011466493,4.80E-12,0.01,asymmetric,RQ,23
beta2,0.921012898,0.009259209,0,0.01,asymmetric,RQ,23
beta3,-0.02573716,0.054685504,0.318949088,0.01,asymmetric,RQ,23
beta4,0.322562544,0.034890552,1.18E-20,0.01,asymmetric,RQ,23
beta1,-0.077062782,0.010798829,4.80E-13,0.01,asymmetric,RQ,24
beta2,0.921593775,0.008802134,0,0.01,asymmetric,RQ,24
beta3,-0.022402427,0.060025843,0.354494947,0.01,asymmetric,RQ,24
beta4,0.323273882,0.037527647,3.52E-18,0.01,asymmetric,RQ,24
beta1,-0.074995186,0.011449034,2.87E-11,0.01,asymmetric,RQ,25
beta2,0.920726876,0.009289307,0,0.01,asymmetric,RQ,25
beta3,-0.040766985,0.053937167,0.224877477,0.01,asymmetric,RQ,25
beta4,0.315193414,0.033782948,5.30E-21,0.01,asymmetric,RQ,25
beta1,-0.07363231,0.010536784,1.39E-12,0.01,asymmetric,RQ,26
beta2,0.921936531,0.008656117,0,0.01,asymmetric,RQ,26
beta3,-0.034485694,0.052324246,0.25492324,0.01,asymmetric,RQ,26
beta4,0.315934112,0.033146284,7.75E-22,0.01,asymmetric,RQ,26
beta1,-0.074764688,0.011397567,2.70E-11,0.01,asymmetric,RQ,27
beta2,0.920845327,0.009243859,0,0.01,asymmetric,RQ,27
beta3,-0.041046189,0.053776974,0.222652093,0.01,asymmetric,RQ,27
beta4,0.314727354,0.033672287,4.52E-21,0.01,asymmetric,RQ,27
beta1,0.003339564,0.022945258,0.442140364,0.01,asymmetric,RQ,28
beta2,0.907637959,0.01713504,0,0.01,asymmetric,RQ,28
beta3,0.145024595,0.053125068,0.003167953,0.01,asymmetric,RQ,28
beta4,0.866369871,0.205359009,1.23E-05,0.01,asymmetric,RQ,28
beta1,0.001591693,0.004786968,0.369753779,0.01,asymmetric,RQ,29
beta2,0.83499727,0.008836282,0,0.01,asymmetric,RQ,29
beta3,0.065914916,0.019811655,0.000438809,0.01,asymmetric,RQ,29
beta4,0.616515123,0.025963212,6.08E-125,0.01,asymmetric,RQ,29
beta1,0.327272075,0.105107907,0.000923858,0.01,igarch,RQ,0
beta2,0.859987415,0.041666432,6.03E-95,0.01,igarch,RQ,0
beta3,0.617644428,0.253994037,0.007513492,0.01,igarch,RQ,0
beta1,0.27830395,0.115756081,0.008103342,0.01,igarch,RQ,1
beta2,0.869085016,0.066698599,4.13E-39,0.01,igarch,RQ,1
beta3,0.737461686,0.6509825,0.128639864,0.01,igarch,RQ,1
beta1,0.315818795,0.112773523,0.002551418,0.01,igarch,RQ,2
beta2,0.857972728,0.073700205,1.27E-31,0.01,igarch,RQ,2
beta3,0.721569808,0.625174598,0.124211292,0.01,igarch,RQ,2
beta1,0.320151364,0.111171944,0.001989728,0.01,igarch,RQ,3
beta2,0.852017759,0.074239515,8.65E-31,0.01,igarch,RQ,3
beta3,0.77795516,0.651222922,0.116120397,0.01,igarch,RQ,3
beta1,0.37098124,0.104582628,0.000194634,0.01,igarch,RQ,4
beta2,0.868151654,0.026226858,1.41E-240,0.01,igarch,RQ,4
beta3,0.55364171,0.130733496,1.14E-05,0.01,igarch,RQ,4
beta1,0.285196674,0.08573556,0.000439769,0.01,igarch,RQ,5
beta2,0.868144073,0.049075748,2.51E-70,0.01,igarch,RQ,5
beta3,0.611140967,0.372616926,0.050488856,0.01,igarch,RQ,5
beta1,0.195643921,0.068823332,0.002236675,0.01,igarch,RQ,6
beta2,0.865334918,0.043748438,2.22E-87,0.01,igarch,RQ,6
beta3,0.722980306,0.391988547,0.03256306,0.01,igarch,RQ,6
beta1,0.407083201,0.134700501,0.00125499,0.01,igarch,RQ,7
beta2,0.871340525,0.030931614,6.84E-175,0.01,igarch,RQ,7
beta3,0.551871733,0.157000934,0.000219806,0.01,igarch,RQ,7
beta1,0.221723614,0.08399378,0.00414821,0.01,igarch,RQ,8
beta2,0.907644242,0.020596593,0,0.01,igarch,RQ,8
beta3,0.418795749,0.10206022,2.04E-05,0.01,igarch,RQ,8
beta1,0.516954441,0.161070056,0.000664829,0.01,igarch,RQ,9
beta2,0.84523123,0.032096634,3.92E-153,0.01,igarch,RQ,9
beta3,0.628042656,0.160406942,4.51E-05,0.01,igarch,RQ,9
beta1,0.380757925,0.151516752,0.005985878,0.01,igarch,RQ,10
beta2,0.864577463,0.061117573,9.87E-46,0.01,igarch,RQ,10
beta3,0.609364486,0.430070008,0.078256664,0.01,igarch,RQ,10
beta1,0.506185303,0.156772985,0.0006216,0.01,igarch,RQ,11
beta2,0.802345461,0.047184841,3.82E-65,0.01,igarch,RQ,11
beta3,0.951841924,0.428428989,0.013151695,0.01,igarch,RQ,11
beta1,0.205984934,0.0809372,0.005463934,0.01,igarch,RQ,12
beta2,0.893504968,0.047899673,5.89E-78,0.01,igarch,RQ,12
beta3,0.559804809,0.418751563,0.090637057,0.01,igarch,RQ,12
beta1,0.391085699,0.151147709,0.004834595,0.01,igarch,RQ,13
beta2,0.860407936,0.064015425,1.75E-41,0.01,igarch,RQ,13
beta3,0.637255968,0.476759999,0.090670265,0.01,igarch,RQ,13
beta1,0.229666002,0.07849696,0.001717887,0.01,igarch,RQ,14
beta2,0.874255824,0.045088655,4.71E-84,0.01,igarch,RQ,14
beta3,0.649083075,0.377105899,0.042605248,0.01,igarch,RQ,14
beta1,0.476655107,0.203668459,0.009632885,0.01,igarch,RQ,15
beta2,0.834436978,0.067615023,2.72E-35,0.01,igarch,RQ,15
beta3,0.714037137,0.407533469,0.039878783,0.01,igarch,RQ,15
beta1,0.465514598,0.183056429,0.005495081,0.01,igarch,RQ,16
beta2,0.844132088,0.057096424,9.25E-50,0.01,igarch,RQ,16
beta3,0.669007401,0.339644625,0.024434797,0.01,igarch,RQ,16
beta1,0.253902018,0.099047378,0.005182029,0.01,igarch,RQ,17
beta2,0.901478774,0.02302885,0,0.01,igarch,RQ,17
beta3,0.445122038,0.11088505,2.98E-05,0.01,igarch,RQ,17
beta1,0.349304975,0.137661627,0.00558369,0.01,igarch,RQ,18
beta2,0.87688396,0.038851511,4.26E-113,0.01,igarch,RQ,18
beta3,0.590542675,0.30066985,0.024759822,0.01,igarch,RQ,18
beta1,0.292080563,0.081540513,0.000170467,0.01,igarch,RQ,19
beta2,0.878641654,0.027980484,9.52E-217,0.01,igarch,RQ,19
beta3,0.527373711,0.160186288,0.000496942,0.01,igarch,RQ,19
beta1,0.504161579,0.18214567,0.002820911,0.01,igarch,RQ,20
beta2,0.834699919,0.05605083,1.86E-50,0.01,igarch,RQ,20
beta3,0.701311476,0.335520539,0.018299056,0.01,igarch,RQ,20
beta1,0.313689641,0.138468132,0.011743201,0.01,igarch,RQ,21
beta2,0.874502641,0.066853066,2.12E-39,0.01,igarch,RQ,21
beta3,0.636912176,0.557249112,0.126528072,0.01,igarch,RQ,21
beta1,0.294793782,0.080072548,0.000115895,0.01,igarch,RQ,22
beta2,0.875320196,0.027748795,1.07E-218,0.01,igarch,RQ,22
beta3,0.542274262,0.159294557,0.000331762,0.01,igarch,RQ,22
beta1,0.280779758,0.084315862,0.000434083,0.01,igarch,RQ,23
beta2,0.903883,0.021043125,0,0.01,igarch,RQ,23
beta3,0.391767766,0.099543546,4.15E-05,0.01,igarch,RQ,23
beta1,0.392278899,0.127015668,0.001006088,0.01,igarch,RQ,24
beta2,0.866399731,0.037112319,7.68E-121,0.01,igarch,RQ,24
beta3,0.577388536,0.211817305,0.003206516,0.01,igarch,RQ,24
beta1,0.254684371,0.085736855,0.001486405,0.01,igarch,RQ,25
beta2,0.885889558,0.028237396,2.37E-216,0.01,igarch,RQ,25
beta3,0.525291136,0.195499038,0.003605664,0.01,igarch,RQ,25
beta1,0.224805374,0.052135882,8.09E-06,0.01,igarch,RQ,26
beta2,0.901523147,0.015683178,0,0.01,igarch,RQ,26
beta3,0.402158786,0.071392198,8.85E-09,0.01,igarch,RQ,26
beta1,0.269677271,0.063209348,9.93E-06,0.01,igarch,RQ,27
beta2,0.884102639,0.018182153,0,0.01,igarch,RQ,27
beta3,0.490088198,0.090540272,3.10E-08,0.01,igarch,RQ,27
beta1,0.306017286,0.097531528,0.000851615,0.01,igarch,RQ,28
beta2,0.860596734,0.057832168,2.19E-50,0.01,igarch,RQ,28
beta3,0.681374418,0.474111201,0.075336039,0.01,igarch,RQ,28
beta1,0.295248203,0.069706878,1.14E-05,0.01,igarch,RQ,29
beta2,0.864062637,0.025772244,9.79E-247,0.01,igarch,RQ,29
beta3,0.597188162,0.150763216,3.73E-05,0.01,igarch,RQ,29
