quantile,model,method,trial,loss,hit_rate_in,hit_rate_out,dq_in,dq_out,binom_in,binom_out,traffic_in,traffic_out,kupiec_in,kupiec_out,independent_in,independent_out
0.05,adaptive,mle,11,0.128173637,0.048515376,0.04495614,0.618006462,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,12,0.128173637,0.048515376,0.04495614,0.618006407,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,13,0.148110257,0.058059385,0.133223684,1,1,0.024963176,1.40E-42,green,red,,1,,1
0.05,adaptive,mle,14,0.128173637,0.048515376,0.04495614,0.618006463,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,15,0.128173637,0.048515376,0.04495614,0.618006284,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,16,0.128173637,0.048515376,0.04495614,0.618006694,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,17,0.128173637,0.048515376,0.04495614,0.618005764,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,18,0.148110255,0.058059385,0.133223684,1,1,0.024963176,1.40E-42,green,red,,1,,1
0.05,adaptive,mle,19,0.128173637,0.048515376,0.04495614,0.618006375,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,20,0.128173637,0.048515376,0.04495614,0.618006434,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,21,0.128173637,0.048515376,0.04495614,0.618005995,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,22,0.128173637,0.048515376,0.04495614,0.618006038,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,23,0.128173637,0.048515376,0.04495614,0.618007965,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,24,0.128173637,0.048515376,0.04495614,0.618005519,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,25,0.128173637,0.048515376,0.04495614,0.618006513,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,26,0.161515913,0.032608696,0.006030702,1,1,2.38E-07,7.90E-27,green,green,1,1,0.999998232,0.946310163
0.05,adaptive,mle,27,0.128173637,0.048515376,0.04495614,0.618006556,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,28,0.128173637,0.048515376,0.04495614,0.61800722,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,adaptive,mle,29,0.128173637,0.048515376,0.04495614,0.618006627,0.998807455,0.708728736,0.360764785,green,green,1,1,0.507619192,0.960971215
0.05,symmetric,RQ,0,0.126726976,0.050106045,0.039473684,0.41953478,0.992098223,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,1,0.126726937,0.050106045,0.039473684,0.415437107,0.99209951,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,2,0.126726969,0.050106045,0.039473684,0.419528831,0.992098437,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,3,0.126726998,0.050106045,0.039473684,0.419552528,0.992097589,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,4,0.126726949,0.050106045,0.039473684,0.419513686,0.992098985,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,5,0.126726937,0.050106045,0.039473684,0.415437426,0.992099499,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,6,0.126726945,0.050106045,0.039473684,0.419507476,0.99209921,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,7,0.126726957,0.050106045,0.039473684,0.419513139,0.992099003,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,8,0.126726957,0.050106045,0.039473684,0.419519487,0.992098775,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,9,0.126726934,0.050106045,0.039473684,0.415438345,0.992099469,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,10,0.126726996,0.050106045,0.039473684,0.419550744,0.992097653,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,11,0.126726933,0.050106045,0.039473684,0.415438364,0.992099468,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,12,0.12672697,0.050106045,0.039473684,0.419527453,0.992098487,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,13,0.126726955,0.050371156,0.039473684,0.485034486,0.992098826,0.910748281,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,14,0.126726948,0.050106045,0.039473684,0.419505663,0.992099275,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,15,0.126726992,0.050106045,0.039473684,0.419547906,0.992097754,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,16,0.126726976,0.050106045,0.039473684,0.419532939,0.992098289,0.970194032,0.040946129,green,green,,1,,0.77456405
0.05,symmetric,RQ,17,0.126727004,0.050106045,0.039473684,0.457954637,0.992098539,0.970194032,0.040946129,green,green,,1,,0.77456405
