beta,coefficient,S.E. of beta,pval of beta,quantile,model,method,trial
beta1,-0.045747217,0.009808029,1.55E-06,0.05,asymmetric,mle,2
beta2,0.926407069,0.022982542,0,0.05,asymmetric,mle,2
beta3,0.003244441,0.05162885,0.474946312,0.05,asymmetric,mle,2
beta4,0.231201345,0.070304813,0.000503513,0.05,asymmetric,mle,2
beta1,-0.045591597,0.00986039,1.88E-06,0.05,asymmetric,mle,3
beta2,0.92589238,0.022501888,0,0.05,asymmetric,mle,3
beta3,0.001940091,0.051052412,0.484843063,0.05,asymmetric,mle,3
beta4,0.232374879,0.069115411,0.000386721,0.05,asymmetric,mle,3
beta1,-0.045273138,0.009704272,1.54E-06,0.05,asymmetric,mle,4
beta2,0.926664065,0.022290171,0,0.05,asymmetric,mle,4
beta3,0.003819619,0.050412585,0.469802163,0.05,asymmetric,mle,4
beta4,0.230941746,0.068819869,0.000395761,0.05,asymmetric,mle,4
beta1,-0.045729582,0.009736099,1.32E-06,0.05,asymmetric,mle,5
beta2,0.926745122,0.022846285,0,0.05,asymmetric,mle,5
beta3,0.00439709,0.051182442,0.465768934,0.05,asymmetric,mle,5
beta4,0.23066264,0.069893207,0.000483053,0.05,asymmetric,mle,5
beta1,-0.046029485,0.010030194,2.23E-06,0.05,asymmetric,mle,6
beta2,0.925808447,0.022751668,0,0.05,asymmetric,mle,6
beta3,0.002479667,0.051461864,0.480784576,0.05,asymmetric,mle,6
beta4,0.232543228,0.069829719,0.000434001,0.05,asymmetric,mle,6
beta1,-0.045818516,0.009793336,1.44E-06,0.05,asymmetric,mle,7
beta2,0.926418617,0.022931915,0,0.05,asymmetric,mle,7
beta3,0.003646374,0.051447256,0.471748235,0.05,asymmetric,mle,7
beta4,0.231295439,0.07015675,0.000488899,0.05,asymmetric,mle,7
beta1,-0.045697043,0.009860562,1.79E-06,0.05,asymmetric,mle,8
beta2,0.926379525,0.023120992,0,0.05,asymmetric,mle,8
beta3,0.00307696,0.051960321,0.476389439,0.05,asymmetric,mle,8
beta4,0.231205016,0.070721255,0.000539177,0.05,asymmetric,mle,8
beta1,-0.045747262,0.009804588,1.54E-06,0.05,asymmetric,mle,9
beta2,0.926421306,0.022975562,0,0.05,asymmetric,mle,9
beta3,0.003288352,0.051606819,0.474596857,0.05,asymmetric,mle,9
beta4,0.231171649,0.070281924,0.000502354,0.05,asymmetric,mle,9
beta1,-0.045123377,0.009453547,9.07E-07,0.05,asymmetric,mle,10
beta2,0.927407578,0.02184199,0,0.05,asymmetric,mle,10
beta3,0.00697171,0.049042872,0.443478623,0.05,asymmetric,mle,10
beta4,0.230188827,0.067534001,0.00032662,0.05,asymmetric,mle,10
beta1,-0.045653579,0.010005785,2.52E-06,0.05,asymmetric,mle,11
beta2,0.926372411,0.022845013,0,0.05,asymmetric,mle,11
beta3,0.003053204,0.051684627,0.476446692,0.05,asymmetric,mle,11
beta4,0.231272846,0.070117585,0.000486262,0.05,asymmetric,mle,11
beta1,-0.049334188,0.018176383,0.003321885,0.05,asymmetric,mle,12
beta2,0.917899689,0.016547544,0,0.05,asymmetric,mle,12
beta3,-0.007621385,0.044507417,0.432018106,0.05,asymmetric,mle,12
beta4,0.25213858,0.032981287,1.05E-14,0.05,asymmetric,mle,12
beta1,-0.045746137,0.009799229,1.52E-06,0.05,asymmetric,mle,13
beta2,0.926444591,0.022965219,0,0.05,asymmetric,mle,13
beta3,0.003371285,0.051574206,0.473940639,0.05,asymmetric,mle,13
beta4,0.231139545,0.070251935,0.000500666,0.05,asymmetric,mle,13
beta1,-0.045812838,0.009837096,1.60E-06,0.05,asymmetric,mle,14
beta2,0.926251735,0.023022557,0,0.05,asymmetric,mle,14
beta3,0.003029277,0.051727024,0.47665019,0.05,asymmetric,mle,14
beta4,0.231542068,0.070428807,0.000505218,0.05,asymmetric,mle,14
beta1,-0.045776398,0.009810977,1.54E-06,0.05,asymmetric,mle,15
beta2,0.926360122,0.022978055,0,0.05,asymmetric,mle,15
beta3,0.003199851,0.051617158,0.475284603,0.05,asymmetric,mle,15
beta4,0.231308099,0.07029117,0.000499668,0.05,asymmetric,mle,15
beta1,-0.045765617,0.00975778,1.36E-06,0.05,asymmetric,mle,16
beta2,0.926562887,0.022870442,0,0.05,asymmetric,mle,16
beta3,0.003727187,0.051301103,0.471041065,0.05,asymmetric,mle,16
beta4,0.230849941,0.069936818,0.000481987,0.05,asymmetric,mle,16
beta1,-0.045746208,0.009803442,1.53E-06,0.05,asymmetric,mle,17
beta2,0.926430641,0.022974093,0,0.05,asymmetric,mle,17
beta3,0.003328816,0.051599428,0.474281018,0.05,asymmetric,mle,17
beta4,0.231165106,0.070279473,0.000502316,0.05,asymmetric,mle,17
beta1,-0.045727955,0.009762501,1.41E-06,0.05,asymmetric,mle,18
beta2,0.926657409,0.022901983,0,0.05,asymmetric,mle,18
beta3,0.004059471,0.051342804,0.468490059,0.05,asymmetric,mle,18
beta4,0.23075579,0.070051135,0.000493678,0.05,asymmetric,mle,18
beta1,-0.046088971,0.009975226,1.92E-06,0.05,asymmetric,mle,19
beta2,0.925587908,0.022595566,0,0.05,asymmetric,mle,19
beta3,0.002070362,0.051141589,0.48385405,0.05,asymmetric,mle,19
beta4,0.233014632,0.069355292,0.000390102,0.05,asymmetric,mle,19
beta1,-0.045165764,0.009762803,1.86E-06,0.05,asymmetric,mle,20
beta2,0.925812574,0.022372412,0,0.05,asymmetric,mle,20
beta3,0.000909318,0.050989324,0.492885837,0.05,asymmetric,mle,20
beta4,0.232490981,0.069105891,0.00038373,0.05,asymmetric,mle,20
beta1,-0.045993294,0.009759311,1.22E-06,0.05,asymmetric,mle,21
beta2,0.926771971,0.022843431,0,0.05,asymmetric,mle,21
beta3,0.004608994,0.051037935,0.464022319,0.05,asymmetric,mle,21
beta4,0.230460301,0.069990309,0.00049607,0.05,asymmetric,mle,21
beta1,-0.045674841,0.009878861,1.89E-06,0.05,asymmetric,mle,22
beta2,0.926362968,0.023170305,0,0.05,asymmetric,mle,22
beta3,0.003059306,0.052088024,0.476582232,0.05,asymmetric,mle,22
beta4,0.231317041,0.070895123,0.000551575,0.05,asymmetric,mle,22
beta1,-0.045655929,0.010015285,2.57E-06,0.05,asymmetric,mle,23
beta2,0.926403161,0.022868425,0,0.05,asymmetric,mle,23
beta3,0.003160316,0.051724923,0.475640378,0.05,asymmetric,mle,23
beta4,0.231226866,0.070190838,0.000493406,0.05,asymmetric,mle,23
beta1,-0.045786356,0.009729595,1.26E-06,0.05,asymmetric,mle,24
beta2,0.926707439,0.022808201,0,0.05,asymmetric,mle,24
beta3,0.004290654,0.051099335,0.466541366,0.05,asymmetric,mle,24
beta4,0.230686743,0.069763522,0.000472017,0.05,asymmetric,mle,24
beta1,-0.045184603,0.009461426,8.96E-07,0.05,asymmetric,mle,25
beta2,0.925827542,0.022230991,0,0.05,asymmetric,mle,25
beta3,0.000914174,0.045709971,0.492021908,0.05,asymmetric,mle,25
beta4,0.232374334,0.069395664,0.000406189,0.05,asymmetric,mle,25
beta1,-0.045749986,0.00978833,1.48E-06,0.05,asymmetric,mle,26
beta2,0.92647472,0.022940692,0,0.05,asymmetric,mle,26
beta3,0.003476823,0.051505264,0.473090146,0.05,asymmetric,mle,26
beta4,0.231088504,0.070176268,0.000495671,0.05,asymmetric,mle,26
beta1,-0.045735525,0.009788378,1.49E-06,0.05,asymmetric,mle,27
beta2,0.926521234,0.02294947,0,0.05,asymmetric,mle,27
beta3,0.00362874,0.051508613,0.471918068,0.05,asymmetric,mle,27
beta4,0.2310202,0.070206182,0.000499876,0.05,asymmetric,mle,27
beta1,-0.045748358,0.009805494,1.54E-06,0.05,asymmetric,mle,28
beta2,0.92641446,0.022976832,0,0.05,asymmetric,mle,28
beta3,0.003272321,0.051612283,0.474723206,0.05,asymmetric,mle,28
beta4,0.231189469,0.070287238,0.000502346,0.05,asymmetric,mle,28
beta1,-0.045773052,0.009788266,1.46E-06,0.05,asymmetric,mle,29
beta2,0.926492341,0.022937165,0,0.05,asymmetric,mle,29
beta3,0.003648995,0.051461467,0.471735761,0.05,asymmetric,mle,29
beta4,0.231055206,0.070155654,0.000494803,0.05,asymmetric,mle,29
beta1,0.040263584,0.025002536,0.053657462,0.05,igarch,RQ,0
beta2,0.915076434,0.014273297,0,0.05,igarch,RQ,0
beta3,0.231441561,0.029670865,3.09E-15,0.05,igarch,RQ,0
beta1,0.040645209,0.022577759,0.035911993,0.05,igarch,RQ,1
beta2,0.916443795,0.011857568,0,0.05,igarch,RQ,1
beta3,0.227683467,0.028299351,4.29E-16,0.05,igarch,RQ,1
beta1,0.043106991,0.029702533,0.073349554,0.05,igarch,RQ,2
beta2,0.912268105,0.022179586,0,0.05,igarch,RQ,2
beta3,0.238507649,0.054207243,5.41E-06,0.05,igarch,RQ,2
beta1,0.040281545,0.024990335,0.053493488,0.05,igarch,RQ,3
beta2,0.915129074,0.014260967,0,0.05,igarch,RQ,3
beta3,0.231296784,0.029652023,3.09E-15,0.05,igarch,RQ,3
beta1,0.040145748,0.024928739,0.053653064,0.05,igarch,RQ,4
beta2,0.914946217,0.014275276,0,0.05,igarch,RQ,4
beta3,0.231811408,0.029826693,3.86E-15,0.05,igarch,RQ,4
beta1,0.042266764,0.029117212,0.07330538,0.05,igarch,RQ,5
beta2,0.912225005,0.021917444,0,0.05,igarch,RQ,5
beta3,0.238757597,0.053861616,4.65E-06,0.05,igarch,RQ,5
beta1,0.040305546,0.024979998,0.053316577,0.05,igarch,RQ,6
beta2,0.915139226,0.01425226,0,0.05,igarch,RQ,6
beta3,0.231265548,0.029634517,3.00E-15,0.05,igarch,RQ,6
beta1,0.040651811,0.022219516,0.033658308,0.05,igarch,RQ,7
beta2,0.916507424,0.011871953,0,0.05,igarch,RQ,7
beta3,0.227509815,0.028491069,7.01E-16,0.05,igarch,RQ,7
beta1,0.040111652,0.024739623,0.052471022,0.05,igarch,RQ,8
beta2,0.915002187,0.014413116,0,0.05,igarch,RQ,8
beta3,0.231666107,0.030520954,1.59E-14,0.05,igarch,RQ,8
beta1,0.040755963,0.023371869,0.040596617,0.05,igarch,RQ,9
beta2,0.915948952,0.012615547,0,0.05,igarch,RQ,9
beta3,0.229006072,0.028849125,1.03E-15,0.05,igarch,RQ,9
beta1,0.040458437,0.024494152,0.049291837,0.05,igarch,RQ,10
beta2,0.915367237,0.014262028,0,0.05,igarch,RQ,10
beta3,0.23062594,0.030169012,1.05E-14,0.05,igarch,RQ,10
beta1,0.039301254,0.021584433,0.034317507,0.05,igarch,RQ,11
beta2,0.917641053,0.011391699,0,0.05,igarch,RQ,11
beta3,0.224644143,0.02764225,2.20E-16,0.05,igarch,RQ,11
beta1,0.039727856,0.02193825,0.035078597,0.05,igarch,RQ,12
beta2,0.917628272,0.011587349,0,0.05,igarch,RQ,12
beta3,0.224610214,0.027963017,4.78E-16,0.05,igarch,RQ,12
beta1,0.040806297,0.023367498,0.040380774,0.05,igarch,RQ,13
beta2,0.915922525,0.012611144,0,0.05,igarch,RQ,13
beta3,0.229069459,0.028833011,9.73E-16,0.05,igarch,RQ,13
beta1,0.038409903,0.020795795,0.032373326,0.05,igarch,RQ,14
beta2,0.917781657,0.011025355,0,0.05,igarch,RQ,14
beta3,0.224374055,0.026804141,2.86E-17,0.05,igarch,RQ,14
beta1,0.04188069,0.026138278,0.054547485,0.05,igarch,RQ,15
beta2,0.913418407,0.020004327,0,0.05,igarch,RQ,15
beta3,0.235633844,0.053013236,4.40E-06,0.05,igarch,RQ,15
beta1,0.040678082,0.023213728,0.039858651,0.05,igarch,RQ,16
beta2,0.9157187,0.012486487,0,0.05,igarch,RQ,16
beta3,0.229641293,0.028306083,2.47E-16,0.05,igarch,RQ,16
beta1,0.040161505,0.024922086,0.053537302,0.05,igarch,RQ,17
beta2,0.914923266,0.014271716,0,0.05,igarch,RQ,17
beta3,0.231870675,0.029815383,3.72E-15,0.05,igarch,RQ,17
beta1,0.040034912,0.025500964,0.058214862,0.05,igarch,RQ,18
beta2,0.914700747,0.020225983,0,0.05,igarch,RQ,18
beta3,0.232490084,0.054606611,1.03E-05,0.05,igarch,RQ,18
beta1,0.040171259,0.024924413,0.053511075,0.05,igarch,RQ,19
beta2,0.914911387,0.014273039,0,0.05,igarch,RQ,19
beta3,0.231901084,0.029816087,3.69E-15,0.05,igarch,RQ,19
beta1,0.040192992,0.024978077,0.053793875,0.05,igarch,RQ,20
beta2,0.914957606,0.014298607,0,0.05,igarch,RQ,20
beta3,0.231773108,0.029875386,4.31E-15,0.05,igarch,RQ,20
beta1,0.040757885,0.023383938,0.040668,0.05,igarch,RQ,21
beta2,0.91592491,0.012623407,0,0.05,igarch,RQ,21
beta3,0.22907081,0.02886316,1.04E-15,0.05,igarch,RQ,21
beta1,0.040558735,0.024441045,0.048512396,0.05,igarch,RQ,22
beta2,0.915518581,0.0142114,0,0.05,igarch,RQ,22
beta3,0.230201181,0.030079322,9.81E-15,0.05,igarch,RQ,22
beta1,0.043235225,0.029590427,0.071990979,0.05,igarch,RQ,23
beta2,0.911477824,0.021327729,0,0.05,igarch,RQ,23
beta3,0.240588787,0.044914202,4.24E-08,0.05,igarch,RQ,23
beta1,0.040233805,0.025017731,0.053894424,0.05,igarch,RQ,24
beta2,0.915040037,0.01428719,0,0.05,igarch,RQ,24
beta3,0.231544445,0.029695656,3.16E-15,0.05,igarch,RQ,24
beta1,0.041603284,0.025804412,0.053453263,0.05,igarch,RQ,25
beta2,0.913189016,0.019779274,0,0.05,igarch,RQ,25
beta3,0.236292076,0.05230701,3.13E-06,0.05,igarch,RQ,25
beta1,0.039981864,0.021996628,0.034559892,0.05,igarch,RQ,26
beta2,0.917382255,0.01161465,0,0.05,igarch,RQ,26
beta3,0.225239778,0.02797646,4.10E-16,0.05,igarch,RQ,26
beta1,0.040164025,0.024927925,0.053567402,0.05,igarch,RQ,27
beta2,0.914928051,0.014274502,0,0.05,igarch,RQ,27
beta3,0.231857381,0.029821803,3.78E-15,0.05,igarch,RQ,27
beta1,0.040368767,0.024952197,0.052848087,0.05,igarch,RQ,28
beta2,0.915171723,0.014228596,0,0.05,igarch,RQ,28
beta3,0.231167718,0.0295877,2.79E-15,0.05,igarch,RQ,28
beta1,0.040174127,0.024932405,0.053554805,0.05,igarch,RQ,29
beta2,0.914918846,0.014276839,0,0.05,igarch,RQ,29
beta3,0.23188054,0.029824997,3.78E-15,0.05,igarch,RQ,29
beta1,0.040157599,0.024923559,0.053564743,0.05,igarch,mle,0
beta2,0.914921736,0.014272426,0,0.05,igarch,mle,0
beta3,0.231888274,0.029818463,3.72E-15,0.05,igarch,mle,0
beta1,0.040462096,0.024970283,0.052572118,0.05,igarch,mle,1
beta2,0.915342022,0.014218562,0,0.05,igarch,mle,1
beta3,0.230693357,0.029587675,3.17E-15,0.05,igarch,mle,1
beta1,0.040666084,0.023201195,0.039821765,0.05,igarch,mle,2
beta2,0.915769526,0.012475601,0,0.05,igarch,mle,2
beta3,0.229553258,0.028296091,2.48E-16,0.05,igarch,mle,2
beta1,0.039890541,0.025423486,0.058318966,0.05,igarch,mle,3
beta2,0.914584597,0.020195475,0,0.05,igarch,mle,3
beta3,0.23288291,0.054529678,9.74E-06,0.05,igarch,mle,3
beta1,0.039426203,0.022402829,0.039214408,0.05,igarch,mle,4
beta2,0.916033586,0.012102789,0,0.05,igarch,mle,4
beta3,0.228991295,0.028044281,1.60E-16,0.05,igarch,mle,4
beta1,0.040562137,0.023177659,0.040054567,0.05,igarch,mle,5
beta2,0.915693443,0.012472764,0,0.05,igarch,mle,5
beta3,0.229828668,0.028287323,2.24E-16,0.05,igarch,mle,5
beta1,0.043729531,0.029721464,0.070603449,0.05,igarch,mle,6
beta2,0.911224349,0.021428288,0,0.05,igarch,mle,6
beta3,0.241155064,0.044924903,3.98E-08,0.05,igarch,mle,6
beta1,0.04025311,0.025009259,0.053750432,0.05,igarch,mle,7
beta2,0.915049498,0.014279992,0,0.05,igarch,mle,7
beta3,0.231515879,0.029681361,3.09E-15,0.05,igarch,mle,7
beta1,0.039647614,0.022642306,0.039969395,0.05,igarch,mle,8
beta2,0.915887297,0.01222522,0,0.05,igarch,mle,8
beta3,0.229351456,0.028295609,2.63E-16,0.05,igarch,mle,8
beta1,0.040421739,0.025736046,0.058134607,0.05,igarch,mle,9
beta2,0.914619283,0.019611606,0,0.05,igarch,mle,9
beta3,0.232646929,0.051962458,3.78E-06,0.05,igarch,mle,9
beta1,0.038046526,0.020342034,0.030718286,0.05,igarch,mle,10
beta2,0.91851976,0.010896106,0,0.05,igarch,mle,10
beta3,0.221302346,0.026584579,4.24E-17,0.05,igarch,mle,10
beta1,0.034566023,0.016923391,0.02055099,0.05,igarch,mle,11
beta2,0.923076915,0.010362282,0,0.05,igarch,mle,11
beta3,0.216071766,0.026175428,7.61E-17,0.05,igarch,mle,11
beta1,0.040164869,0.024923063,0.053529483,0.05,igarch,mle,12
beta2,0.914917078,0.014272281,0,0.05,igarch,mle,12
beta3,0.23188985,0.029815952,3.70E-15,0.05,igarch,mle,12
beta1,0.040320184,0.024983389,0.053276758,0.05,igarch,mle,13
beta2,0.915047616,0.014259559,0,0.05,igarch,mle,13
beta3,0.231510115,0.029636301,2.82E-15,0.05,igarch,mle,13
beta1,0.040169925,0.024923224,0.053508529,0.05,igarch,mle,14
beta2,0.914912782,0.014272438,0,0.05,igarch,mle,14
beta3,0.231896146,0.029814899,3.69E-15,0.05,igarch,mle,14
beta1,0.040171739,0.024931461,0.053558592,0.05,igarch,mle,15
beta2,0.914921195,0.01427634,0,0.05,igarch,mle,15
beta3,0.231874602,0.029824379,3.78E-15,0.05,igarch,mle,15
beta1,0.040284457,0.024999256,0.05354343,0.05,igarch,mle,16
beta2,0.915084194,0.0142694,0,0.05,igarch,mle,16
beta3,0.231409695,0.029662148,3.06E-15,0.05,igarch,mle,16
beta1,0.039838013,0.02202271,0.035229278,0.05,igarch,mle,17
beta2,0.916828761,0.011630715,0,0.05,igarch,mle,17
beta3,0.226768651,0.028059038,3.19E-16,0.05,igarch,mle,17
beta1,0.040167075,0.024930325,0.053570975,0.05,igarch,mle,18
beta2,0.914926756,0.014275698,0,0.05,igarch,mle,18
beta3,0.231860491,0.02982402,3.79E-15,0.05,igarch,mle,18
beta1,0.040167784,0.024923129,0.053517213,0.05,igarch,mle,19
beta2,0.914914923,0.014272355,0,0.05,igarch,mle,19
beta3,0.231892145,0.029815295,3.69E-15,0.05,igarch,mle,19
beta1,0.039918841,0.025213925,0.056687242,0.05,igarch,mle,20
beta2,0.91482126,0.019584529,0,0.05,igarch,mle,20
beta3,0.232361675,0.05245015,4.71E-06,0.05,igarch,mle,20
beta1,0.040171979,0.024933998,0.053575406,0.05,igarch,mle,21
beta2,0.914924176,0.014277536,0,0.05,igarch,mle,21
beta3,0.231867112,0.029827373,3.81E-15,0.05,igarch,mle,21
beta1,0.040129555,0.021910606,0.033512019,0.05,igarch,mle,22
beta2,0.917191789,0.011705248,0,0.05,igarch,mle,22
beta3,0.225709206,0.028224235,6.37E-16,0.05,igarch,mle,22
beta1,0.040698774,0.023211417,0.039767145,0.05,igarch,mle,23
beta2,0.915766427,0.012480306,0,0.05,igarch,mle,23
beta3,0.229523305,0.028301002,2.53E-16,0.05,igarch,mle,23
beta1,0.040835991,0.023337279,0.040074862,0.05,igarch,mle,24
beta2,0.915959131,0.012590421,0,0.05,igarch,mle,24
beta3,0.228965479,0.028790428,9.11E-16,0.05,igarch,mle,24
beta1,0.040165897,0.024923196,0.053525932,0.05,igarch,mle,25
beta2,0.91491601,0.014272364,0,0.05,igarch,mle,25
beta3,0.231892103,0.029815875,3.70E-15,0.05,igarch,mle,25
beta1,0.03986059,0.024108999,0.049129927,0.05,igarch,mle,26
beta2,0.915360172,0.014117246,0,0.05,igarch,mle,26
beta3,0.230741287,0.030052747,8.09E-15,0.05,igarch,mle,26
beta1,1.074671626,0.256471953,1.39E-05,0.05,igarch,mle,27
beta2,0.697207704,0.061850401,8.97E-30,0.05,igarch,mle,27
beta3,0.326210547,0.10016393,0.000563445,0.05,igarch,mle,27
beta1,0.04019372,0.025000746,0.05395036,0.05,igarch,mle,28
beta2,0.914979564,0.014309326,0,0.05,igarch,mle,28
beta3,0.231727999,0.029902782,4.62E-15,0.05,igarch,mle,28
beta1,0.039891419,0.022050929,0.035220965,0.05,igarch,mle,29
beta2,0.916485931,0.011660441,0,0.05,igarch,mle,29
beta3,0.227690683,0.028069251,2.49E-16,0.05,igarch,mle,29
beta1,-2.089711487,0.032492388,0,0.01,adaptive,RQ,0
beta1,-0.770379822,0.119571704,5.86E-11,0.01,adaptive,RQ,1
beta1,-1.361797071,0.145398942,3.77E-21,0.01,adaptive,RQ,2
beta1,-0.770368834,0.119548006,5.82E-11,0.01,adaptive,RQ,3
beta1,-1.606510746,0.022307361,0,0.01,adaptive,RQ,4
beta1,-1.577918597,1.22E-05,0,0.01,adaptive,RQ,5
beta1,-0.770381146,0.119574561,5.87E-11,0.01,adaptive,RQ,6
beta1,-0.770359626,0.119528146,5.78E-11,0.01,adaptive,RQ,7
beta1,-1.244748613,0.06722382,7.60E-77,0.01,adaptive,RQ,8
beta1,-1.606511597,0.022305554,0,0.01,adaptive,RQ,9
beta1,-1.626501947,0.00990501,0,0.01,adaptive,RQ,10
beta1,-0.770286623,0.119380729,5.51E-11,0.01,adaptive,RQ,11
beta1,-1.95616444,0.000393961,0,0.01,adaptive,RQ,12
beta1,-2.089710923,0.032494001,0,0.01,adaptive,RQ,13
beta1,-1.578051025,1.32E-06,0,0.01,adaptive,RQ,14
beta1,-0.770373387,0.119557826,5.84E-11,0.01,adaptive,RQ,15
beta1,-1.707433484,0.020134149,0,0.01,adaptive,RQ,16
beta1,-0.77042102,0.119660551,6.04E-11,0.01,adaptive,RQ,17
beta1,-1.606508881,0.022311324,0,0.01,adaptive,RQ,18
beta1,-1.626501854,0.00990433,0,0.01,adaptive,RQ,19
beta1,-0.770390954,0.119595714,5.91E-11,0.01,adaptive,RQ,20
beta1,-2.08970766,0.032503332,0,0.01,adaptive,RQ,21
beta1,-2.089710444,0.032495367,0,0.01,adaptive,RQ,22
beta1,-0.77036709,0.119544244,5.81E-11,0.01,adaptive,RQ,23
beta1,-1.361900351,0.145667783,4.41E-21,0.01,adaptive,RQ,24
beta1,-1.361798451,0.145402518,3.78E-21,0.01,adaptive,RQ,25
beta1,-0.770386891,0.119586951,5.89E-11,0.01,adaptive,RQ,26
beta1,-0.770360655,0.119530364,5.78E-11,0.01,adaptive,RQ,27
beta1,-1.361798595,0.145402892,3.78E-21,0.01,adaptive,RQ,28
beta1,-0.770361907,0.119533066,5.79E-11,0.01,adaptive,RQ,29
beta1,-0.770375337,0.119562032,5.84E-11,0.01,adaptive,mle,0
beta1,-2.520016187,5.04E-05,0,0.01,adaptive,mle,1
beta1,-0.770369306,0.119549024,5.82E-11,0.01,adaptive,mle,2
beta1,-1.361797685,0.145400533,3.77E-21,0.01,adaptive,mle,3
beta1,-1.244748602,0.067223791,7.60E-77,0.01,adaptive,mle,4
beta1,-2.230852983,2.12E-07,0,0.01,adaptive,mle,5
beta1,-0.77036869,0.119547695,5.82E-11,0.01,adaptive,mle,6
beta1,-1.606511248,0.022306295,0,0.01,adaptive,mle,7
beta1,-0.770368422,0.119547118,5.82E-11,0.01,adaptive,mle,8
beta1,-1.556603367,0.012670733,0,0.01,adaptive,mle,9
beta1,-0.770370741,0.119552119,5.83E-11,0.01,adaptive,mle,10
beta1,-0.770368808,0.119547949,5.82E-11,0.01,adaptive,mle,11
beta1,-1.361799179,0.145404406,3.78E-21,0.01,adaptive,mle,12
beta1,-0.770369102,0.119548584,5.82E-11,0.01,adaptive,mle,13
beta1,-0.77036938,0.119549184,5.82E-11,0.01,adaptive,mle,14
beta1,-0.770368736,0.119547794,5.82E-11,0.01,adaptive,mle,15
beta1,-0.770364956,0.119539641,5.80E-11,0.01,adaptive,mle,16
beta1,-0.770371938,0.119554701,5.83E-11,0.01,adaptive,mle,17
beta1,-1.361800418,0.145407618,3.79E-21,0.01,adaptive,mle,18
beta1,-1.361798451,0.145402519,3.78E-21,0.01,adaptive,mle,19
beta1,-1.361796334,0.14539703,3.76E-21,0.01,adaptive,mle,20
beta1,-0.770369856,0.119550209,5.82E-11,0.01,adaptive,mle,21
beta1,-1.626501881,0.009904528,0,0.01,adaptive,mle,22
beta1,-1.54238409,0.005883274,0,0.01,adaptive,mle,23
beta1,-0.770368274,0.119546798,5.82E-11,0.01,adaptive,mle,24
beta1,-1.578051026,1.32E-06,0,0.01,adaptive,mle,25
beta1,-0.770369115,0.119548611,5.82E-11,0.01,adaptive,mle,26
beta1,-1.556603554,0.012669258,0,0.01,adaptive,mle,27
beta1,-4.242586722,1.40E-12,0,0.01,adaptive,mle,28
beta1,-0.770373458,0.119557979,5.84E-11,0.01,adaptive,mle,29
beta1,-0.121953275,0.025053655,5.65E-07,0.01,symmetric,RQ,0
beta2,0.875476135,0.01399489,0,0.01,symmetric,RQ,0
beta3,-0.276593025,0.026022961,1.09E-26,0.01,symmetric,RQ,0
beta1,-0.111148619,0.02221395,2.81E-07,0.01,symmetric,RQ,1
beta2,0.881503328,0.012502061,0,0.01,symmetric,RQ,1
beta3,-0.268640541,0.023677908,3.90E-30,0.01,symmetric,RQ,1
beta1,-0.116221213,0.023576888,4.12E-07,0.01,symmetric,RQ,2
beta2,0.878546655,0.013251456,0,0.01,symmetric,RQ,2
beta3,-0.272592683,0.024902189,3.45E-28,0.01,symmetric,RQ,2
beta1,-0.110696387,0.02205871,2.61E-07,0.01,symmetric,RQ,3
beta2,0.881636049,0.012425781,0,0.01,symmetric,RQ,3
beta3,-0.26851711,0.023546666,2.01E-30,0.01,symmetric,RQ,3
beta1,-0.115919847,0.023479104,3.96E-07,0.01,symmetric,RQ,4
beta2,0.878713285,0.013198181,0,0.01,symmetric,RQ,4
beta3,-0.272373715,0.024812983,2.46E-28,0.01,symmetric,RQ,4
beta1,-0.115148947,0.023377198,4.20E-07,0.01,symmetric,RQ,5
beta2,0.879423679,0.013123526,0,0.01,symmetric,RQ,5
beta3,-0.27131722,0.024708268,2.36E-28,0.01,symmetric,RQ,5
beta1,-0.110430778,0.022418359,4.20E-07,0.01,symmetric,RQ,6
beta2,0.881198563,0.012673169,0,0.01,symmetric,RQ,6
beta3,-0.2693462,0.024008496,1.65E-29,0.01,symmetric,RQ,6
beta1,-0.120184642,0.024662496,5.49E-07,0.01,symmetric,RQ,7
beta2,0.876709008,0.013764547,0,0.01,symmetric,RQ,7
beta3,-0.274855323,0.025660994,4.52E-27,0.01,symmetric,RQ,7
beta1,-0.116641627,0.023715116,4.36E-07,0.01,symmetric,RQ,8
beta2,0.878317214,0.013326555,0,0.01,symmetric,RQ,8
beta3,-0.272892879,0.025028103,5.55E-28,0.01,symmetric,RQ,8
beta1,-0.11847558,0.024265286,5.24E-07,0.01,symmetric,RQ,9
beta2,0.877861648,0.013534514,0,0.01,symmetric,RQ,9
beta3,-0.273250957,0.025296993,1.69E-27,0.01,symmetric,RQ,9
beta1,-0.120617918,0.024677669,5.10E-07,0.01,symmetric,RQ,10
beta2,0.876003461,0.013808395,0,0.01,symmetric,RQ,10
beta3,-0.275982275,0.025716625,3.61E-27,0.01,symmetric,RQ,10
beta1,-0.118464797,0.02438149,5.90E-07,0.01,symmetric,RQ,11
beta2,0.877306341,0.01364419,0,0.01,symmetric,RQ,11
beta3,-0.27422236,0.025488548,2.70E-27,0.01,symmetric,RQ,11
beta1,-0.111028303,0.022653139,4.76E-07,0.01,symmetric,RQ,12
beta2,0.880699955,0.012768751,0,0.01,symmetric,RQ,12
beta3,-0.270074298,0.024123811,2.15E-29,0.01,symmetric,RQ,12
