beta,coefficient,S.E. of beta,pval of beta,quantile,model,method,trial
beta1,-0.037332981,0.046109092,0.209065979,0.05,symmetric,RQ,4
beta2,0.894437701,0.055799553,3.98E-58,0.05,symmetric,RQ,4
beta3,-0.200076584,0.072555352,0.002911622,0.05,symmetric,RQ,4
beta1,-0.037358577,0.045896767,0.207831157,0.05,symmetric,RQ,5
beta2,0.894583024,0.054840647,4.03E-60,0.05,symmetric,RQ,5
beta3,-0.19972341,0.070572969,0.002327204,0.05,symmetric,RQ,5
beta1,-0.037348222,0.046064597,0.208746213,0.05,symmetric,RQ,6
beta2,0.89450152,0.0557253,2.77E-58,0.05,symmetric,RQ,6
beta3,-0.199909186,0.072440997,0.002893485,0.05,symmetric,RQ,6
beta1,-0.037376959,0.046106608,0.208779375,0.05,symmetric,RQ,7
beta2,0.894442777,0.055782469,3.67E-58,0.05,symmetric,RQ,7
beta3,-0.199982971,0.072502778,0.002905319,0.05,symmetric,RQ,7
beta1,-0.03733795,0.04614715,0.209227004,0.05,symmetric,RQ,8
beta2,0.894377837,0.055858512,5.31E-58,0.05,symmetric,RQ,8
beta3,-0.200201368,0.072637127,0.002923995,0.05,symmetric,RQ,8
beta1,-0.037334604,0.045927212,0.208135364,0.05,symmetric,RQ,9
beta2,0.894574505,0.05488754,5.07E-60,0.05,symmetric,RQ,9
beta3,-0.199777449,0.070646842,0.002343215,0.05,symmetric,RQ,9
beta1,-0.037347878,0.046386156,0.210366161,0.05,symmetric,RQ,10
beta2,0.894054218,0.056225835,3.11E-57,0.05,symmetric,RQ,10
beta3,-0.200891181,0.073148547,0.003013163,0.05,symmetric,RQ,10
beta1,-0.037331445,0.045930433,0.20817143,0.05,symmetric,RQ,11
beta2,0.894574328,0.054892612,5.20E-60,0.05,symmetric,RQ,11
beta3,-0.199781995,0.07065486,0.002345093,0.05,symmetric,RQ,11
beta1,-0.037353996,0.046188245,0.209334136,0.05,symmetric,RQ,12
beta2,0.894295494,0.055922418,7.30E-58,0.05,symmetric,RQ,12
beta3,-0.200361149,0.072723014,0.002933467,0.05,symmetric,RQ,12
beta1,-0.037333239,0.046142457,0.209232696,0.05,symmetric,RQ,13
beta2,0.894392582,0.055851054,5.11E-58,0.05,symmetric,RQ,13
beta3,-0.200174909,0.072627717,0.002924059,0.05,symmetric,RQ,13
beta1,-0.037374026,0.046050715,0.208515169,0.05,symmetric,RQ,14
beta2,0.894519844,0.055696726,2.41E-58,0.05,symmetric,RQ,14
beta3,-0.199819082,0.072383608,0.002885144,0.05,symmetric,RQ,14
beta1,-0.037347078,0.046364336,0.210261835,0.05,symmetric,RQ,15
beta2,0.89408367,0.056192237,2.65E-57,0.05,symmetric,RQ,15
beta3,-0.200828276,0.073101696,0.00300491,0.05,symmetric,RQ,15
beta1,-0.037355852,0.046230075,0.209533142,0.05,symmetric,RQ,16
beta2,0.894238736,0.055986649,9.96E-58,0.05,symmetric,RQ,16
beta3,-0.200481992,0.072812372,0.002948939,0.05,symmetric,RQ,16
beta1,-0.037549388,0.046180675,0.208081098,0.05,symmetric,RQ,17
beta2,0.894310625,0.055828813,4.72E-58,0.05,symmetric,RQ,17
beta3,-0.200101181,0.072517338,0.002895767,0.05,symmetric,RQ,17
beta1,-0.03734575,0.046097034,0.208925502,0.05,symmetric,RQ,18
beta2,0.894454827,0.055777014,3.57E-58,0.05,symmetric,RQ,18
beta3,-0.200015008,0.072515259,0.002905612,0.05,symmetric,RQ,18
beta1,-0.037353646,0.0463031,0.20991385,0.05,symmetric,RQ,19
beta2,0.89417003,0.056094693,1.66E-57,0.05,symmetric,RQ,19
beta3,-0.200625904,0.072959155,0.002981231,0.05,symmetric,RQ,19
beta1,-0.037392464,0.046129888,0.208800347,0.05,symmetric,RQ,20
beta2,0.894471509,0.055791547,3.80E-58,0.05,symmetric,RQ,20
beta3,-0.199934842,0.072516257,0.002915792,0.05,symmetric,RQ,20
beta1,-0.037336072,0.04593491,0.20816526,0.05,symmetric,RQ,21
beta2,0.894575908,0.054896735,5.30E-60,0.05,symmetric,RQ,21
beta3,-0.199767032,0.070655932,0.002346959,0.05,symmetric,RQ,21
beta1,-0.037389163,0.046418793,0.210272899,0.05,symmetric,RQ,22
beta2,0.894010911,0.056264077,3.74E-57,0.05,symmetric,RQ,22
beta3,-0.200908808,0.073175821,0.003020361,0.05,symmetric,RQ,22
beta1,-0.037331337,0.046097315,0.209016772,0.05,symmetric,RQ,23
beta2,0.894515173,0.055766343,3.34E-58,0.05,symmetric,RQ,23
beta3,-0.199911396,0.072504249,0.002914605,0.05,symmetric,RQ,23
beta1,-0.037339161,0.046123396,0.209099646,0.05,symmetric,RQ,24
beta2,0.894418205,0.055819874,4.39E-58,0.05,symmetric,RQ,24
beta3,-0.200107828,0.072580051,0.002916149,0.05,symmetric,RQ,24
beta1,-0.037289605,0.046140102,0.209492878,0.05,symmetric,RQ,25
beta2,0.894477131,0.055844899,4.85E-58,0.05,symmetric,RQ,25
beta3,-0.200042473,0.072628381,0.002940629,0.05,symmetric,RQ,25
beta1,-0.037349996,0.046145386,0.209143044,0.05,symmetric,RQ,26
